date,Actual,Predicted,Difference
2024-08-01,400700,396526.65,4173.349999999977
2024-08-01,581800,580956.7,843.3000000000466
2024-08-01,363800,363343.77,456.2299999999814
2024-08-01,300900,303794.06,-2894.0599999999977
2024-08-01,256800,256779.86,20.14000000001397
2024-08-01,475900,475012.79,887.210000000021
2024-08-01,396600,397037.22,-437.21999999997206
2024-09-01,490700,493925.96,-3225.960000000021
2024-09-01,530300,528381.08,1918.920000000042
2024-09-01,665100,669865.2,-4765.199999999953
2024-09-01,456500,453226.52,3273.4799999999814
2024-09-01,364500,364937.21,-437.21000000002095
2024-09-01,306100,302477.25,3622.75
2024-09-01,358100,345334.0,12766.0
2024-09-01,285000,285090.58,-90.5800000000163
2024-09-01,1204200,1384712.33,-180512.33000000007
2024-09-01,292300,291352.67,947.3300000000163
2024-09-01,441400,439859.67,1540.3300000000163
2024-09-01,568800,570403.67,-1603.670000000042
2024-09-01,650000,651473.67,-1473.670000000042
2024-09-01,244000,244862.67,-862.6700000000128
2024-09-01,307900,307579.5,320.5
2024-09-01,395900,397745.28,-1845.280000000028
2024-09-01,186600,186095.17,504.8299999999872
2024-09-01,330000,336628.0,-6628.0
2024-09-01,469300,466058.22,3241.780000000028
2024-09-01,523900,516778.11,7121.890000000014
2024-09-01,262200,262309.25,-109.25
2024-09-01,399000,393881.21,5118.789999999979
2024-09-01,219400,220150.18,-750.179999999993
2024-09-01,366500,364904.89,1595.109999999986
2024-09-01,538100,538456.3,-356.30000000004657
2024-09-01,391600,391420.81,179.19000000000233
2024-09-01,418300,416971.34,1328.6599999999744
2024-09-01,294400,293684.97,715.0300000000279
2024-09-01,168000,168330.62,-330.61999999999534
2024-09-01,330400,328314.0,2086.0
2024-09-01,444200,440211.83,3988.1699999999837
2024-09-01,1965600,1763836.0,201764.0
2024-09-01,383000,383660.0,-660.0
2024-09-01,234900,236316.72,-1416.7200000000012
2024-09-01,360200,359653.35,546.6500000000233
2024-09-01,405900,405445.83,454.1699999999837
2024-09-01,459400,456475.59,2924.4099999999744
2024-09-01,433200,424647.81,8552.190000000002
2024-09-01,388300,388484.67,-184.6699999999837
2024-09-01,376600,375020.15,1579.8499999999767
2024-09-01,281900,281111.82,788.179999999993
2024-09-01,514200,514674.33,-474.3300000000163
2024-09-01,256200,256328.73,-128.73000000001048
2024-09-01,277000,279219.09,-2219.0900000000256
2024-09-01,551300,547683.87,3616.1300000000047
2024-09-01,529000,521230.33,7769.669999999984
2024-09-01,310900,311993.0,-1093.0
2024-09-01,296900,297410.89,-510.89000000001397
2024-09-01,278900,278691.61,208.39000000001397
2024-09-01,679100,672179.2,6920.800000000047
2024-09-01,634300,635587.51,-1287.5100000000093
2024-09-01,719100,685457.93,33642.06999999995
2024-09-01,433100,435685.35,-2585.3499999999767
2024-09-01,211400,211173.67,226.3299999999872
2024-09-01,246600,246879.77,-279.7699999999895
2024-09-01,292000,298582.33,-6582.330000000016
2024-09-01,62500,61521.0,979.0
2024-09-01,834300,829653.33,4646.670000000042
2024-09-01,620200,608902.67,11297.329999999958
2024-09-01,270500,270701.33,-201.3300000000163
2024-09-01,404000,404606.35,-606.3499999999767
2024-09-01,587800,558752.33,29047.670000000042
2024-09-01,252400,252450.69,-50.69000000000233
2024-09-01,846600,843585.99,3014.0100000000093
2024-09-01,295400,294535.3,864.7000000000116
2024-09-01,273800,273882.33,-82.3300000000163
2024-09-01,356900,357468.77,-568.7700000000186
2024-09-01,493700,494048.07,-348.070000000007
2024-09-01,658400,659218.37,-818.3699999999953
2024-09-01,442500,442688.67,-188.6699999999837
2024-09-01,265200,265876.3,-676.2999999999884
2024-09-01,414800,414169.24,630.7600000000093
2024-09-01,383100,382888.72,211.28000000002794
2024-09-01,288100,287872.7,227.29999999998836
2024-09-01,512300,509823.69,2476.3099999999977
2024-09-01,160300,160312.33,-12.329999999987194
2024-09-01,296600,291409.72,5190.280000000028
2024-09-01,262900,263876.69,-976.6900000000023
2024-09-01,472600,474692.27,-2092.2700000000186
2024-09-01,266200,266610.96,-410.96000000002095
2024-09-01,281200,281852.65,-652.6500000000233
2024-09-01,141200,141582.48,-382.4800000000105
2024-09-01,549000,547946.44,1053.5600000000559
2024-09-01,598100,596757.59,1342.4100000000326
2024-09-01,482100,481680.67,419.3300000000163
2024-09-01,265900,265494.0,406.0
2024-09-01,814500,816247.2,-1747.1999999999534
2024-09-01,263100,264190.08,-1090.0800000000163
2024-09-01,351800,353016.67,-1216.6699999999837
2024-09-01,234700,234997.02,-297.0199999999895
2024-09-01,311100,315561.56,-4461.559999999998
2024-09-01,392200,391360.37,839.6300000000047
2024-09-01,383600,385730.92,-2130.9199999999837
2024-09-01,251900,251229.76,670.2399999999907
2024-09-01,244600,244535.0,65.0
2024-09-01,552200,546227.31,5972.689999999944
2024-09-01,395000,392544.77,2455.2299999999814
2024-09-01,470300,470371.92,-71.9199999999837
2024-09-01,295300,296792.33,-1492.3300000000163
