date,median_sale_price
2024-02-01,839000
2024-02-01,265000
2024-02-01,1266500
2024-02-01,328600
2024-02-01,809700
2024-02-01,482600
2024-02-01,254900
2024-02-01,341900
2024-02-01,264200
2024-02-01,503300
2024-02-01,306000
2024-02-01,411000
2024-02-01,198200
2024-02-01,267500
2024-02-01,200000
2024-02-01,334200
2024-02-01,93400
2024-02-01,251100
2024-02-01,489200
2024-02-01,347600
2024-02-01,932300
2024-02-01,176500
2024-02-01,739800
2024-02-01,450000
2024-02-01,240000
2024-02-01,243200
2024-02-01,435900
2024-02-01,236100
2023-03-01,200700
2023-03-01,280600
2023-03-01,241400
2023-03-01,125500
2023-03-01,367100
2023-03-01,380400
2023-03-01,241900
2023-03-01,359700
2023-03-01,350600
2023-03-01,459600
2023-03-01,247000
2023-03-01,358100
2023-03-01,900900
2023-03-01,557300
2023-03-01,478900
2023-03-01,330900
2023-03-01,188800
2023-03-01,345100
2023-03-01,314700
2023-03-01,727900
2023-03-01,324000
2023-03-01,147500
2023-03-01,626300
2023-03-01,200000
2023-03-01,276900
2023-03-01,245500
2023-03-01,269700
2023-03-01,943400
2023-03-01,306800
2023-03-01,267900
2023-03-01,238000
2023-03-01,457300
2023-03-01,352900
2023-03-01,380700
2023-03-01,923000
2023-03-01,313800
2023-03-01,525500
2023-03-01,416200
2023-03-01,487800
2023-03-01,203800
2023-03-01,429700
2023-03-01,543200
2023-03-01,339100
2023-03-01,270800
2023-03-01,258900
2023-03-01,276000
2023-03-01,334900
2023-03-01,304800
2023-03-01,307500
2023-03-01,336100
2023-03-01,358900
2023-03-01,220300
2023-03-01,438600
2023-03-01,460600
2023-03-01,266600
2023-03-01,214700
2023-03-01,352800
2023-03-01,247500
2023-03-01,239900
2023-03-01,232700
2023-03-01,426500
2023-03-01,489600
2023-03-01,469500
2023-03-01,583400
2023-03-01,294400
2023-03-01,344500
2023-03-01,217400
2023-03-01,309400
2023-03-01,324000
2023-03-01,439600
2023-03-01,216300
2023-03-01,216400
2023-03-01,749300
2023-03-01,225900
2023-03-01,564400
2023-03-01,555600
2023-03-01,443800
2023-03-01,767100
2023-03-01,523300
2023-03-01,420000
2023-03-01,486300
2023-03-01,387500
2023-03-01,238600
2023-03-01,319100
2023-03-01,334000
2023-03-01,244300
2023-03-01,413300
2023-03-01,153700
2023-03-01,275400
2023-03-01,397000
2023-03-01,171700
2023-03-01,354000
2023-03-01,141900
2023-03-01,239800
2023-03-01,141500
2023-03-01,201300
2023-03-01,281300
2023-03-01,472600
2023-03-01,637500
2023-03-01,614700
2023-03-01,203000
2023-03-01,382500
2023-03-01,237100
2023-03-01,193500
2023-03-01,364500
2023-03-01,257200
2023-03-01,419500
2023-03-01,349200
2023-03-01,231500
2023-03-01,637500
2023-03-01,228900
2023-03-01,585500
2023-03-01,246200
2023-03-01,251900
2023-03-01,189200
2023-03-01,236200
2023-03-01,448500
2023-03-01,224400
2023-03-01,612200
2023-03-01,144300
2023-03-01,353500
2023-03-01,374900
2023-03-01,739900
2023-03-01,241900
2023-03-01,237400
2023-03-01,251800
2023-03-01,259000
2023-03-01,449500
2023-03-01,231000
2023-03-01,531900
2023-03-01,218900
2023-03-01,243200
2023-03-01,356500
2023-03-01,306700
2023-03-01,131300
